mz	time	Statistic
168.0161	148.4	1.638046445
169.0088	148.8	0.971379534
169.0356	147.9	0.718636846
169.0457	144.9	1.95563381
179.0539	144.1	2.105967855
181.0284	149.3	0.883313657
181.0397	148.1	0.044892839
182.0329	145.7	1.545684434
182.5117	149.7	2.086637761
187.526	149.5	1.775903955
192.0742	152.3	1.419327891
193.0284	150.8	0.523905232
193.0623	145	1.777394438
194.0593	144.3	1.96045172
198.0105	148.7	1.56719024
200.0076	148.4	1.874471491
209.0426	148.5	1.563246777
210.0353	148.8	1.722096068
210.0722	145.5	0.624949328
212.0322	148.6	1.322192105
213.0182	149.2	2.039039975
226.0497	148	0.84251004
254.9866	144.8	1.83980727
255.9439	148.8	1.743269578
256.9838	144.2	1.963602751
260.9353	147	1.906024446
265.0156	145.9	2.46837581
266.0164	144.8	1.482953896
267.0129	144.9	1.553830871
272.9613	147.5	1.546289247
276.9129	148.4	1.36450162
278.8929	151	0.551446214
278.9099	149.1	1.113529789
280.9929	146.8	1.286981259
286.9417	148.3	1.039801229
288.9387	148.5	1.811107503
296.9705	148.4	1.819665753
297.9739	148.9	1.268423444
304.6902	148.5	2.00278105
317.9394	149.1	1.937427417
90.5263	148	1.618483907
94.5441	144.4	2.151470884
99.5316	148.2	2.013900166
217.1045	98.9	1.020797416
261.1306	98.5	1.088671588
262.1339	99.4	1.004693514
277.1045	100.8	0.291487334
306.16	98.6	0.793504597
321.1307	99.8	0.740300905
350.1862	98.3	1.114339216
395.2143	98.3	1.236906837
411.1797	99.5	1.816100104
437.2354	97.8	1.13879815
438.2387	98.1	1.220551074
439.2407	98.5	1.502784211
454.2126	99.3	0.931041682
455.2065	99.9	1.257659288
483.2672	97.9	1.138902841
393.209	97.8	1.085854181
143.0483	143.7	0.438188841
151.0387	146.9	0.213979251
173.0672	143.6	1.664505456
184.0302	146.6	0.918904581
270.9641	147.3	1.085851992
159.024	146.9	1.511618351
365.1569	99.1	0.92829625
208.0692	92.5	1.979062804
337.0154	94.1	1.525259806
384.9452	94.2	0.656349151
386.9424	94	1.96117016
440.9069	92.9	0.558177921
442.9038	93	0.903940059
450.9358	94.1	1.215876117
452.9328	94.1	1.283239762
500.8626	93.1	0.564421045
502.8587	93	1.347800599
508.8944	94.1	1.210098201
510.8914	93.2	0.793051436
518.9232	94	0.884880146
520.9202	94.1	0.981032192
558.8211	92.8	0.268691977
568.8499	92.9	1.483016607
616.7795	92.7	0.559772926
626.8083	92.9	0.41639056
636.8373	93.1	0.775388674
646.8661	93.1	0.030461947
694.7958	92.9	0.113870567
141.0139	148.4	1.473042924
131.0815	164.1	1.065838397
132.0655	163.4	1.609307427
158.0372	160.6	1.499849705
159.0764	164.2	0.8239289
166.0258	160.4	1.747346989
175.0313	160	1.733028418
188.5357	160	1.207968074
207.0525	159	0.034418115
246.5393	158.6	1.434422537
248.0958	164.1	0.903068182
332.048	160.7	1.27606104
334.0543	163.5	0.74625121
624.1397	161.1	1.097411523
630.1558	165.1	0.626524117
118.0864	110.4	0.565016221
119.0898	110.4	0.937502901
133.1052	109.4	0.860079076
159.1127	110.9	1.647469795
164.0293	111	0.813662162
86.0969	109.2	0.04506685
172.1695	571.7	1.003306677
179.1066	576.3	1.466111382
179.143	569.3	0.173732444
183.0804	571.8	0.978826027
184.0837	571.8	1.133133387
250.1184	569.2	0.783198137
279.2316	575.1	1.151011276
285.0941	570.4	1.203095097
315.2083	576.6	1.130122318
326.3779	571.1	0.888182519
333.2188	569.9	0.825829741
352.2327	571.3	0.630712441
353.2263	571.6	1.280732204
527.2961	576.7	0.60375065
548.2746	576.6	0.031715213
114.0664	98.1	0.957411229
115.0697	98.4	0.533622102
121.0721	101.4	1.323325119
136.0481	96.4	1.263629876
289.0403	91.5	0.549462735
135.0481	156.5	0.852480399
178.0086	156.3	0.700843201
217.0818	151.7	2.102660167
218.0852	151.9	1.243547595
254.0446	154	0.258978938
259.0235	156	1.071360559
88.0397	158.4	0.613731626
207.1743	504.1	1.753239947
208.1776	504.1	2.335003068
269.1356	505.9	2.118482103
315.1776	506.1	1.618572547
333.2633	504.9	2.08414669
142.5358	155.1	0.053579481
163.0491	154.6	1.317697786
243.0377	155.4	0.315327883
245.0335	155.5	0.300068359
144.1019	148.6	0.106933095
145.1052	147.2	0.230245812
160.0967	143.5	0.485284811
283.1626	147.2	0.889595813
309.1782	147	0.966479481
121.0843	132.6	0.015278191
166.0862	131.8	0.702291998
167.0895	132.5	0.473870869
210.05	130.8	0.597772391
464.2827	489.7	0.198445946
500.3039	492.2	0.180340773
226.9512	90.3	0.589724001
229.1408	87.5	1.132481171
468.7812	83.6	0.361186453
634.8022	80.6	0.063212349
162.1124	120.3	0.741162412
163.1157	121.4	1.380969014
200.0683	122.9	0.780382132
485.3026	135	0.226287863
486.3059	134.5	0.440708827
541.3651	133.3	0.339271822
110.0273	151.2	1.425445208
215.9645	156.3	0.924932382
230.9164	154.1	1.615152121
188.0705	108.2	0.759361054
189.0738	108.2	0.702139067
237.1168	112.1	1.101345981
238.1201	112.1	1.389645296
235.1802	99.3	0.503120861
236.1835	99.1	0.087495486
363.1543	98	0.007500966
273.1361	100.2	0.264601388
274.1394	99.3	1.387343345
156.0421	146.8	1.97962548
158.0402	146.4	2.019150007
110.0716	148.7	1.343100311
131.0816	139.4	1.301592378
414.8497	93.9	0.373897947
428.6992	93.1	0.629341747
430.6963	93.1	0.718486049
434.6903	93.1	0.807258561
436.6874	92.8	0.26812671
488.6548	93	0.597928731
492.6489	93	0.928133449
496.6865	93	0.49787614
502.6777	93.2	0.383597339
548.8277	93.8	0.280189026
550.6073	92.8	0.779530731
556.6421	93	0.545257765
558.6392	93.1	0.493547392
564.6739	93.1	0.444259075
608.566	92.7	0.507217415
618.5947	92.9	0.147854634
628.6235	92.9	1.05698475
682.8051	92.3	0.7896264
89.0795	84.9	0.189099602
161.0636	178.3	0.957761803
174.0122	179.1	1.17522678
177.0869	178.3	1.013867452
189.0869	178.3	1.311043067
235.0922	178.3	1.021876049
247.0922	178.3	1.340616037
294.1009	178.1	1.007949859
316.0831	178	1.116323911
317.0838	178	1.159286995
332.0571	178	1.184360184
372.0712	178.9	1.471275701
585.1883	178	1.15281891
638.0996	178.6	1.245698081
639.1038	178.7	0.795999482
676.0536	178.6	0.543050863
130.0499	144.9	0.195300633
147.0764	145	1.100211936
171.0763	145	1.755038202
215.0512	143.7	0.547597278
231.0287	146.9	0.603366341
237.033	142.8	0.530552888
248.9987	139.8	1.105472154
253.0069	142.3	0.777230842
266.9699	139.8	1.491510263
267.0762	147.3	0.248615273
272.0551	147	0.319622057
275.0013	138.2	0.955842086
280.9466	140	0.139437163
322.9312	139.7	0.817133727
324.9284	139.4	0.802232046
340.9024	139.5	0.153644995
356.0076	147.8	0.047694234
375.0651	140.3	1.141042961
380.8898	139.3	0.760542903
131.9294	67	0.118879562
152.9948	67.6	1.027595812
194.0214	67.5	0.710770601
308.8575	68.1	0.115680721
310.8548	68.6	0.344705949
319.6841	67.5	0.203887393
339.8554	67.3	0.757803621
341.8529	67.4	0.240368779
359.0685	69.5	0.390763687
578.269	68.5	0.74106504
171.0056	148.6	2.029675727
161.096	553.1	1.339222254
165.1274	549.8	1.372394501
264.2401	550.3	1.667921501
411.2064	550.4	2.1519234
210.1852	527.6	1.606014644
228.1957	531.2	0.938959192
279.0931	526.5	0.995587913
279.2317	534.6	0.605315915
297.2422	534.4	0.804584305
315.2528	535	1.147014049
337.2347	535.4	1.780554776
191.0402	140	1.248414214
207.0141	140.1	0.7242143
338.9052	140.1	0.090256669
256.0574	159	1.358925403
296.105	163.5	0.430884183
333.0509	163.6	0.840492755
353.0354	165.2	0.119533006
377.0499	161.6	1.267535405
608.1742	164.7	0.627010851
638.0995	161.7	0.718672031
645.1263	164.3	1.160471715
646.1288	164.5	0.719454818
214.2528	523.2	0.684643954
230.2477	523.8	1.403442547
239.1277	519.9	0.905629403
261.1095	519.7	0.517400406
229.2353	86.4	0.554361601
335.125	78.6	0.896122165
386.259	87.5	0.592841752
445.3133	85.5	0.131283421
449.2869	84.7	0.549994754
455.3126	85.8	1.474606341
483.3441	86.1	1.040480142
493.3132	84.3	0.679236503
533.3655	85.8	0.638139943
534.3187	82.2	1.244646824
537.316	86.7	0.354129951
567.8916	88.5	0.871788781
88.0761	86.1	0.509636777
104.5471	143.7	0.059994323
113.0512	143.2	1.357094928
113.5335	147.8	0.620022611
120.5422	148	0.386212856
124.087	149.4	0.497594588
170.0924	150.3	0.956441479
205.0396	147.9	0.238560423
299.9988	146.4	0.257133824
91.0237	147.9	0.55685534
92.0405	143.9	0.188572041
108.5767	146.9	0.375267031
111.0749	150	1.737843095
115.0868	148.9	0.451479157
148.1161	149.1	0.742872402
156.0767	149.3	1.386732824
225.0719	144	0.172388863
262.0628	150	0.33443679
363.0761	543.4	1.617670437
404.1027	543.8	1.299069916
140.0107	194.5	1.19688082
98.9845	194.4	0.253692886
189.112	501.3	1.303685183
211.0939	501.5	1.263984286
183.9448	150.4	1.065632788
220.9345	149.7	0.410866994
224.9714	149.6	1.200588262
235	149.7	0.5909315
249.0453	144.5	1.239798232
290.0718	143.5	0.81128075
106.0396	94.2	0.997627071
470.3318	86.5	1.49065975
499.9043	88.7	1.027298236
554.3926	86.4	1.388013934
600.882	88	0.182993843
223.1328	549.1	2.013690482
256.1622	553.8	1.733618386
270.3152	554	1.903263265
272.1854	554.1	1.788533395
183.0782	97.8	1.819018097
323.9863	92.5	1.2658596
470.9933	92.8	1.493949115
248.9758	92.3	0.857927359
254.0257	93.8	0.312132758
272.9548	92.7	0.05532183
151.1117	548.3	1.308926185
199.1804	539.1	0.144653864
225.1484	539.9	0.974632397
178.5505	160.5	1.589199767
187.041	159.7	1.599493206
205.1182	154.8	0.761201171
226.026	159	0.673167004
295.102	163.1	1.500035782
586.1918	163.8	1.020356118
623.1376	162.5	1.261316187
116.0708	144.6	0.915519719
133.0972	149.7	0.684763051
241.0493	146.5	0.57452494
119.0856	569.4	1.630528958
163.148	569.5	1.172581873
176.1029	146.8	0.452456217
251.2003	572.6	1.835977891
130.0863	146.8	0.449770152
147.1128	148.9	1.178750575
160.0603	162.9	1.472629757
223.0635	549.4	2.033835953
561.3604	87	0.673820653
804.5506	86.4	0.182334396
872.5378	86.4	0.623298305
296.0207	149.7	0.992713938
306.0494	149.5	1.480566104
377.1452	91.2	0.792189351
445.1328	90.9	0.765277784
192.1382	528.8	1.073731606
345.0472	91.3	0.664224038
435.0166	90.8	0.843181666
129.0659	111.3	0.487840606
173.0296	111.9	0.04330582
143.0814	162.8	0.954712583
299.0558	153.7	0.486084119
380.1022	154.1	1.622515573
129.1022	85.8	1.103634466
296.8625	78.6	0.29523215
352.8238	77.8	0.108993378
163.0753	519.2	1.300218742
254.2476	521.2	1.595977806
368.2278	518.2	1.455890108
277.2524	544.3	1.931823457
182.0577	146.4	1.215002101
225.196	558.6	1.756347682
120.0557	576.8	0.740948338
144.9821	83.7	0.146579715
362.8526	79.8	0.090647929
214.9426	152.5	0.643241368
241.9033	153.8	0.751996753
372.3106	139.6	0.585977801
400.3419	146.8	0.656883803
425.3452	140.7	0.249600755
132.0768	107.3	1.635512959
176.0406	107.8	1.478897325
249.0649	167	0.292511009
405.2607	84.4	0.249187082
406.2642	83.4	0.082653134
132.1019	130.4	0.320334276
113.06	203.8	0.248957776
122.0602	198.7	0.503823388
184.9855	208.1	0.348351293
245.945	155.7	0.746866239
429.0215	160.8	1.16968733
144.0808	132.4	0.419241088
359.0911	140.1	0.952363309
102.055	163.7	0.405439957
174.8959	157.9	0.028503862
133.0608	146.1	1.171824313
177.0246	139.8	1.821868017
148.0604	146.8	2.465959495
280.0919	155.6	0.921883831
106.0502	144	1.08780218
332.96	138.7	0.888175274
212.2008	478.7	2.03401266
99.0445	486.8	1.683474923
276.1189	152.6	0.809713821
181.9299	95	0.632827047
314.779	93.9	1.597190624
316.7761	93.7	0.07616244
516.6548	96.6	0.615377552
548.6104	92.8	0.272668343
606.569	92.7	0.633401034
614.6006	92.8	0.526611806
616.5977	92.9	0.568882214
229.078	142.4	1.654030754
241.1545	138.1	1.426718737
525.2878	97.7	1.354431236
190.0902	164	1.609444997
331.0445	159.8	1.083820651
180.0545	143.3	0.695222766
142.0086	150.6	0.674538716
255.1589	554.2	1.943433134
337.2346	554.1	2.031196935
315.0795	191.7	1.245655752
317.0839	191.7	0.228777885
333.051	192.7	0.775910057
354.0394	194.9	1.735529592
607.1706	192.4	0.981375666
629.1524	192.5	1.611974049
645.1261	192.7	0.296755798
313.1778	67.3	0.294466985
101.0713	169.9	0.788202263
103.0322	148	1.684828202
107.0492	94	0.763605178
107.0706	204.2	0.985185306
109.1014	569.8	0.523157706
111.0205	313.6	0.885439079
112.0871	67.3	0.690700136
112.0872	146.4	0.602816872
114.0552	178.6	0.264168878
120.0657	110.2	0.632075911
122.0965	112.4	0.804682371
123.0442	106.3	1.048073464
126.0663	168.1	0.392874196
128.0455	214.9	1.602303601
128.0706	187.2	1.43709228
128.107	173.4	1.569842518
128.9505	474	1.268782395
128.9506	309.3	1.319003144
133.0317	133.9	1.555312856
133.0794	578.7	0.910539897
133.08	107.1	0.635859158
133.0971	201.8	0.455134251
133.1012	522.5	1.566670091
134.0447	149.6	1.960419676
134.0448	178	1.273763643
134.081	131	1.216761731
135.117	569	0.297786723
136.0756	106.9	0.143897217
139.1117	191	0.808787481
140.0818	307.7	0.520769373
141.0658	125.8	0.970405356
142.1226	479.2	0.560906532
146.06	126.9	0.246945719
146.0601	143.8	0.077049128
146.0812	143.9	0.952796994
148.0797	144.4	1.532137564
148.0967	136.3	0.828170195
149.0961	523.2	0.13097337
149.1325	569.5	0.179014213
150.0583	109.9	1.821093347
153.0658	103.4	0.840948897
154.0862	202.2	0.85880641
157.0058	67.3	1.273383876
157.0607	144.6	0.114804905
161.1284	148	0.458330802
169.1222	567.9	0.087708883
171.0344	499.9	0.635119035
171.1127	203.1	0.130730121
174.0678	144.9	0.339590323
175.1188	178	1.250905696
175.1189	147.6	0.61133913
176.0658	129.8	0.567616813
177.0545	568.9	1.357040049
182.0811	103.7	0.570117702
183.1379	551.4	0.823674573
186.1124	110.7	1.717253959
187.0712	164.4	0.039038649
188.1757	147.7	0.574863058
189.1233	142.2	0.403371044
189.1597	152.9	0.486143502
190.0497	69.5	1.176071614
190.0498	156.2	0.936479088
191.1026	155.3	1.292362936
192.9899	270.8	0.819035097
193.1223	538.8	0.2681931
195.1379	553.7	1.066074049
197.1535	568.8	2.201401423
198.0512	139.8	1.05420587
199.1009	108.1	1.547144728
199.1693	568.6	0.795559741
200.2007	88	0.933942596
200.2008	37.2	0.137059344
201.0388	145	0.109126434
202.1801	579.6	1.398693307
203.1502	145.9	1.819480862
205.0971	106	0.512194654
207.1491	97.3	0.417414203
209.0123	140.3	0.617697224
209.0128	68.3	0.313669069
209.092	108.8	0.268952703
213.1596	578.7	1.326790823
213.1597	495.5	0.609890746
216.0145	152.6	0.931717347
218.1386	118.9	0.17141126
219.0975	153.8	0.688712769
221.1899	500.1	0.702100827
223.0746	155	0.265176014
223.1691	22.3	0.482829558
226.0449	107.1	0.208494975
229.1182	133.8	0.211910863
232.1542	118.6	1.32682415
233.2011	485.6	1.318488624
236.998	156.7	0.407808653
241.0309	154.3	0.61960368
243.0271	154.6	1.590866699
243.065	148.3	0.002599988
245.0766	92	0.858918402
249.2211	519.5	0.948554117
251.1275	578.9	0.045753329
253.1795	16.5	0.699931226
255.0655	145.4	0.626865293
255.1951	28.9	0.850852527
267.1951	25	0.656481859
271.19	18.9	0.782628306
271.2264	58.5	0.250252484
277.1795	562.3	1.227701884
279.1589	191	0.165898968
282.1193	90.6	0.874497093
283.19	23	0.478137103
284.961	515.7	0.794731248
285.2057	25.3	1.695038295
287.0998	98.2	0.87132799
288.2166	106.9	0.202927203
291.2291	84.3	0.166616391
295.2265	29.3	0.652870172
299.0754	149.5	1.28252065
299.11	510.9	0.36062456
299.2214	30.9	0.049123862
304.1012	90.2	1.078315438
309.2057	497.6	1.47034559
310.201	104.9	1.885060094
313.1431	16.5	0.081153483
316.248	112.9	0.131436535
327.0886	113.2	0.015316627
327.2503	88.5	0.410179163
331.2476	518.1	1.825771156
353.2221	479.6	1.632524011
361.2345	84.9	0.585498754
373.2581	20.8	1.73146422
399.2504	68.8	1.579561899
411.2505	142.8	0.726575804
415.2112	569.1	0.977265724
419.2493	63.2	0.121285571
425.1357	107.8	0.204010984
429.2007	67.1	1.366668828
447.3467	148.4	1.100812108
462.9615	94.1	1.048079833
515.0822	92	0.260567304
516.2989	193	0.931220417
524.2747	564.6	1.172273605
581.3656	82.9	0.248409082
86.0605	197.8	0.782981346
90.0554	111.8	0.670050619
916.525	86.4	0.435565611
95.0608	88	0.294479029
104.071	109.8	0.490820366
284.2944	88	0.108226623
284.2945	66.5	0.421167501
301.0599	114.4	0.875932798
376.2592	112.4	0.411309352
399.2446	113.6	0.630354224
414.215	112.6	1.25465717
415.219	113.1	0.125051501
416.2126	113.4	1.194969902
479.359	113.5	0.658048908
228.2319	86.4	0.706994749
531.4073	88.3	0.560187174
335.2157	570.3	0.422736299
351.2294	571.4	0.149823869
478.2927	571.5	1.342314541
479.2961	571.9	1.417947209
480.2983	571.8	1.217253152
503.2962	564.7	1.019238906
520.34	567.3	0.975469445
240.029	149	0.266824148
244.1905	522.2	2.039870595
277.128	527	1.589244504
367.2243	518.2	2.053291914
257.147	148	1.637615809
453.1672	113.4	0.202071325
454.1706	113.4	0.287608729
424.3419	141.5	0.272272337
183.927	93.3	0.461196477
203.0524	93.9	0.520513875
225.0343	92.3	0.275206487
244.0789	93	0.539945454
261.0109	92.1	0.194557857
319.9728	92.6	0.582698963
322.9635	92.6	0.637244296
339.0271	91.3	0.477628771
380.922	92.9	0.707561653
386.9567	94.2	0.275065426
388.9538	93.1	0.236486683
428.9964	90.8	0.112855044
436.8836	93	1.041096272
444.9154	94.1	0.653031107
446.9125	94.1	1.215772513
448.9095	92.8	0.283193288
454.9443	93.9	0.050447442
456.9413	93	0.703197016
464.9732	92.6	0.45553359
475.0019	91	0.262175723
499.0328	92.2	0.500825094
501.0298	92.1	0.720884175
502.8746	94	0.797865784
512.9037	94.1	0.888544695
514.9003	93.3	0.265691586
516.8971	92.9	0.044088844
522.9322	93.2	0.58336667
640.846	93.3	0.879025578
382.9482	94.3	0.813131782
164.9979	94.9	0.957296542
219.9229	93.4	0.580156854
373.2322	86.9	0.579615494
401.2869	84.9	0.761630341
417.2221	80	0.675788398
430.2852	87.3	1.223939729
473.3081	87.5	1.070890464
481.2838	80.3	0.942815594
562.3636	86.8	0.190227509
577.3917	85.8	0.409829662
595.8676	87.3	0.278957552
665.4441	84.3	0.290856628
669.418	82.7	0.477461676
713.4439	82.2	0.536129213
731.8423	87.4	0.182590232
757.4698	81.9	0.240332535
760.8214	87.7	0.533677196
800.8289	87.4	0.459313367
825.5174	84.8	0.17354468
839.3392	87.7	0.458262201
870.5465	82.6	0.523012744
271.0397	92.2	0.521365816
916.2329	162.9	0.923848689
363.9293	88.3	0.254102316
432.9178	88.8	0.333253479
568.8928	88	0.041067667
704.8674	88.5	0.043685112
771.8533	88.4	0.056709236
456.2689	81.8	0.079945417
478.2821	81.4	0.682974693
490.2928	83.7	0.168364809
629.8615	86.9	0.266454645
636.8802	88	0.363567026
663.8551	87.3	0.053201766
669.3711	88	0.12462446
697.8486	87.3	0.148561873
703.3648	88	0.017969644
239.1752	530.8	2.105514712
270.2062	529.3	1.895595482
286.958	532.3	1.753554093
288.2895	530.1	1.244669367
197.0205	67.5	0.126569501
272.0992	65.4	0.556803163
210.062	91.5	0.497366793
259.0047	93.5	0.227635587
280.9866	93.6	0.184142124
105.0426	94.3	0.789960377
123.0791	89.3	0.474326566
342.2328	88.2	0.729427605
205.0818	161.2	0.112229977
227.0637	161.5	1.040921381
760.5829	88.3	0.566518918
783.5712	88.2	0.850266387
805.5541	86.1	0.136240362
309.1307	542.6	1.237450698
217.9792	67.5	1.081458136
230.9148	73.5	0.610090608
240.9435	76.8	0.571546481
343.0455	180	0.333550278
347.0121	180	0.69220868
379.9903	181.9	0.451996474
338.0651	193.4	0.938080167
286.0632	145.8	1.834532809
301.9619	147	1.676924028
302.0408	149.8	0.2919408
312.0695	149.7	0.299121232
204.123	100.1	0.786259835
226.1048	100.8	1.492507369
274.0117	95.1	1.062352625
300.9727	96	1.139404487
877.2781	163.1	1.146800662
899.2603	164.3	0.776110241
106.046	178.3	0.133202852
120.0809	178.2	1.327229267
1236.7321	87.2	0.331364687
126.0914	208	0.830713762
143.1542	140.6	0.191423344
153.0771	146.5	0.797170404
157.0834	248.2	2.270977045
160.1331	116.3	0.292968257
167.0676	144.6	0.270352835
179.0636	197.9	0.710802612
184.0731	153.3	0.544023486
191.008	108.6	0.016766023
191.9928	269.6	0.722999104
192.0144	129.5	0.639375527
195.0198	25.2	0.78197594
197.9925	268.4	0.66143517
198.0172	483.2	1.547128981
