mz	time	Subject1TP0	Subject1TP1	Subject1TP2	Subject1TP3	Subject2TP0	Subject2TP1	Subject2TP2	Subject2TP3	Subject3TP0	Subject3TP1	Subject3TP2	Subject3TP3	Subject4TP0	Subject4TP1	Subject4TP2	Subject4TP3	Subject5TP0	Subject5TP1	Subject5TP2	Subject5TP3	Subject6TP0	Subject6TP1	Subject6TP2	Subject6TP3	Subject7TP0	Subject7TP1	Subject7TP2	Subject7TP3	Subject8TP0	Subject8TP1	Subject8TP2	Subject8TP3	Subject9TP0	Subject9TP1	Subject9TP2	Subject9TP3	Subject10TP0	Subject10TP1	Subject10TP2	Subject10TP3	Subject11TP0	Subject11TP1	Subject11TP2	Subject11TP3	Subject12TP0	Subject12TP1	Subject12TP2	Subject12TP3	Subject13TP0	Subject13TP1	Subject13TP2	Subject13TP3	Subject14TP0	Subject14TP1	Subject14TP2	Subject14TP3	Subject15TP0	Subject15TP1	Subject15TP2	Subject15TP3	Subject16TP0	Subject16TP1	Subject16TP2	Subject16TP3	Subject17TP0	Subject17TP1	Subject17TP2	Subject17TP3	Subject18TP0	Subject18TP1	Subject18TP2	Subject18TP3
363.21618	41.99	0	34.38	0	0	0	27.68	21.33	0	0	21.24	6.13	11.34	14.68	0	0	0	0	0	0	0	0	22.88	0	0	59.66	33.95	0	0	47.82	39.18	0	0	65.7	39.94	0	0	46.33	92.65	106.89	79.27	38.61	85.38	111.72	98.08	37.1	81.17	82.74	89.13	0	85.26	98.17	88.89	31.37	73.22	99.83	100.31	54.8	88.85	203.65	149.74	0	73.81	220.64	151.54	40.28	72.59	81.52	68.81	42.69	78.68	94.27	74.62
363.21618	42.5	200.16	216.87	140.8	77.56	289.41	244.95	182.96	49.32	55.64	248.88	56.06	89.28	66.8	251.06	45.15	75.85	71.43	244.89	72.19	165.72	74.27	268.45	81.28	198.61	433.62	314.16	0	74.59	440.22	318.11	73.92	97.84	485.61	312.02	52.65	91.58	412.9	755.57	967.36	911.11	380.51	711.1	1063.61	865.34	347.99	796.11	1091.59	1013.92	333.23	787.61	1076	996.75	331.04	811.29	1050.76	1026.17	450.85	893.71	2238.07	1654.47	420.99	803.67	2133.99	1611.03	387.03	749.53	920.14	747.04	396.71	701.37	875.71	712.8
181.04841	126.46	0	114.54	91.48	76.4	0	115.1	114.25	58.91	55.56	98.51	84.91	84.49	0	103.34	96.18	97.98	0	143.33	88.26	94.56	0	139.98	79.35	94.67	0	117.94	82.22	104.34	0	112.53	86.6	84.93	0	105.68	72.73	103.81	62.61	0	62.43	49.08	57.13	67.84	64.58	0	58.64	0	0	63.65	0	46.68	0	0	49.64	0	56.14	0	0	63.46	41.29	47.37	55.49	49.84	51.33	0	64.61	51.48	39.57	0	54.21	60.14	46.26	35.64
120.06562	119.55	43.93	877.32	497.97	410.99	0	812.19	509.49	407.68	64.27	754.65	496.76	478.09	41.64	795.8	468.86	463.32	45.41	960.14	537.78	488.88	0	913.49	540.38	468.99	74.71	811.54	533.09	430.84	77.4	899.46	556.64	393.21	91.37	801.14	554.69	393.66	0	0	139.8	0	155.77	0	0	0	34.61	0	0	0	191.76	0	0	0	0	0	0	0	239.84	81.95	0	0	0	69.96	0	43.39	0	0	0	0	34.92	0	0	0
123.05531	52.82	249.21	1837.45	684.77	733.28	362.62	1784.12	688.19	754.99	325.87	1826.53	786.8	631.36	318.1	1845.83	749.95	650.22	441.2	1970.61	833.62	720.62	484.22	1885.02	928.41	745.63	453.53	1639	812.94	728.75	411.9	1670.97	882.56	730.86	436.09	1613.93	800.18	758.85	1931.9	876.48	1016.68	164.69	1922.65	809.67	977.87	197.3	2461.92	858.58	1180.79	202.05	2481.12	794.31	1163.04	222.12	2374.56	898.7	1197.01	197.47	1977.06	940.06	1145.86	205.05	2105.32	997.4	1143.35	228.77	1921.52	721.44	968.59	156.25	2036.17	785.3	915.57	173.17
137.05966	112.24	126.46	189.89	135.39	52.92	185.56	162.5	137.26	50.81	35.37	179.15	39.4	45.13	33.32	213.58	0	59.23	57.83	209.63	63.37	117.04	59.31	87.78	54.63	132.43	339.34	220.74	40.15	80.22	329.11	267.03	37.91	59.89	338.12	230.88	46.96	53.71	390.47	661.85	793.06	787.05	306.26	605.27	743.72	775.86	176.85	650.71	774.96	704.88	260.36	559.43	749.8	784	263.49	586.27	804.66	750.73	341.02	694.28	1737.8	1415.75	316.19	682.53	1794.11	1386.75	329.58	563.72	633.74	552.22	300.05	610.53	679.9	598.93
118.08645	118.25	34.9	195.22	75.98	102.5	53.44	192.89	89.15	96.25	53.82	209.84	105.12	102.3	45.91	238.29	99.96	94.61	75.75	198.71	110.58	111.2	57.72	228.75	123.94	106.3	59.52	181.63	89.47	109.81	59.56	195.99	100.81	92.58	55.77	196.53	98.46	112.83	111.84	70.11	140.73	0	83.03	62.59	115.04	21.12	229.38	64.58	147.82	34.62	228.86	68.73	157.22	0	231.52	66.53	148.76	36.59	182.87	65.76	128.94	25.98	198.74	67.59	123.62	38.13	223.61	55.37	126.09	0	0	57.29	127.85	13.47
118.08645	119	573.81	887.11	2249.2	1183.6	769.42	796.62	2230.86	1209.89	272.01	747.25	2354.4	1268	243.7	748	2252.71	1331.04	137.57	823.62	2340.5	1270.54	268.13	837.41	2310.36	1236.7	2279.07	809.58	2020.63	977.33	2242.38	340.31	2174.84	1072.23	2194.18	825.12	2138.43	934.07	353.81	767.47	3205.38	1642.63	185.23	744.1	3129.73	1614.6	190.3	976.86	2981.61	1655.96	206.98	908.16	2979.44	1578.96	182.17	929.89	3001.07	1662.77	349.81	416.06	4731.89	2307.12	333.01	328.77	4762.34	2146.97	336.76	317.78	2429.48	1083.91	311.64	631.28	2331.76	1172.9
204.0655	57.38	98.34	324.87	64.03	0	113.09	285.44	0	83.68	78.53	332.33	34.3	72.96	68.65	335.14	0	92.93	102.58	295.6	79.02	105.93	102.94	285.84	70	105.1	306.56	382.24	0	74.43	330.34	337.54	0	0	310.38	350.25	0	0	0	0	0	0	0	0	35.46	0	22.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279.15881	35.41	0	0	412.41	0	0	550.35	428.25	296.18	0	496.31	465.8	397.83	0	524.46	414.07	381.57	0	540.3	475.86	356.66	0	625.96	484.72	333.53	0	555.93	495.85	352.04	263.13	527.11	463.28	323.16	0	589.25	495.52	346.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.6	0	0	0	0	0	0	0
